Relay,Code,ISP,Nips,Version,Price,Link,Events/h,Ping
welcome.nostr.wine,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-7-g7196547,,,0,4349ms.
wheat.happytavern.co,CA,"Cloudflare, Inc.","[1,2,9]",0.1.2-nightly,,,0,⛔
wot.girino.org,CA,"Cloudflare, Inc.","[1,11,42,70,86,9]",khatru,,,0,⌛
wot.nostr.party,IE,Apex Strata Ltd,"[1,11,42,70,86,9]",khatru,,,84,1510ms.
wot.puhcho.me,CA,"Cloudflare, Inc.","[1,11,42,70,86]",khatru,,,100,2719ms.
wot.siamstr.com,SG,OVH SAS,"[1,11,42,70,86,9]",khatru,,,0,⌛
wot.sovbit.host,IS,1984 ehf,"[1,11,42,70,86,9]",khatru,,,45,4762ms.
wot.sudocarlos.com,GB,Cogent Communications,"[1,11,42,70,86,9]",khatru,,,0,⛔
wot.utxo.one,CA,"Cloudflare, Inc.","[1,11,42,70,86,9]",khatru,,,125,3223ms.
wot.yeghro.site,CA,"Cloudflare, Inc.","[1,11,42,70,86,9]",khatru,,,125,4123ms.
xmr.usenostr.org,DE,netcup GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,12,1382ms.
yabu.me,JP,The Constant Company,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,433,3341ms.
yestr.me,GB,Cogent Communications,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,199000,link,14,3818ms.
za.purplerelay.com,ZA,Amazon Technologies Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",v403-cc86272,,,0,⌛
zap.watch,FR,OVH SAS,"[1,11,42,70,86,9]",khatru,,,,
