Relay,Code,ISP,Nips,Version,Price,Link,Events/h,Ping
nostr-02.dorafactory.org,SG,Google LLC,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.24.1,,,57,825ms.
nostr-02.yakihonne.com,SG,SGP VULTR,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-2-g3579f21,,,435,812ms.
nostr-03.dorafactory.org,SG,Amazon Technologies Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-2-g3579f21,,,8,622ms.
nostr-1.nbo.angani.co,KE,Angani - KE,"[1,2,4,9,11,12,15,16,20,22,26,28,33]",1.16.0,,,16,719ms.
nostr-dev.wellorder.net,US,"Akamai Technologies, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,1,561ms.
nostr-dev.zbd.gg,US,"Amazon.com, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.2-1-g75a34e4,,,0,387ms.
nostr-pareto.self-determined.de,DE,Bieber IT GmbH,"[1,2,4,9,11,20,22,28,40,70]",0.9.6-39-g32a3677,,,0,⛔
nostr-relay.algotech.io,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,649ms.
nostr-relay.app,CA,"Cloudflare, Inc.","[1,2,4,11,13,22,26,28,40,42]",2.2.0,,,11,286ms.
nostr-relay.apps.den.ratwater.xyz,US,Webpass Inc.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,780ms.
nostr-relay.bitcoin.ninja,US,Overkill Interbuzz LLC,"[1,2,9,11,12,15,16,20,22,26]",0.7.15,,,0,636ms.
nostr-relay.cbrx.io,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,791ms.
nostr-relay.derekross.me,GB,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,0,620ms.
nostr-relay.philipcristiano.com,US,Verizon Business,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,510ms.
nostr-relay.psfoundation.info,US,Hetzner Online GmbH,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,25,650ms.
nostr-relay.puhcho.me,CA,"Cloudflare, Inc.","[1,2,5,9,11,12,15,20,26,33,40,42]",1.13,,,0,⛔
nostr-relay.schnitzel.world,US,"Amazon.com, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40,111]",1.22.2,,,0,509ms.
nostr-relay.sn-media.com,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,366ms.
nostr-tbd.website,US,"Amazon.com, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,16,642ms.
nostr-usa.ka1gbeoa21bnm.us-west-2.cs.amazonlightsail.com,US,"Amazon.com, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,16,642ms.
nostr-verif.slothy.win,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,392ms.
nostr-verified.wellorder.net,US,"Akamai Technologies, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,9,573ms.
nostr.0x7e.xyz,CH,Init7 (Switzerland) Ltd.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,15,175ms.
nostr.15b.blue,JP,Oracle Corporation,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,0,1011ms.
nostr.1f52b.xyz,GB,Choopa,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.9,,,0,169ms.
nostr.1sat.org,SG,The Constant Company,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,1337000,link,9,1053ms.
nostr.256k1.dev,GB,Virgin Media,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.8,,,0,388ms.
nostr.600.wtf,IS,1984 ehf,"[1,11,42,70,86,9]",khatru,,,0,⛔
nostr.702e.com,NL,SOLLUTIUM EU Sp z.o.o.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,166ms.
nostr.8777.ch,US,FranTech Solutions,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,431ms.
nostr.agentcampfire.com,NL,Maximilian Jacobsen,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,3,265ms.
nostr.animeomake.com,US,"AT&T Services, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,5,1099ms.
nostr.app.runonflux.io,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,26]",0.7.15,,,0,683ms.
nostr.at,CA,"Cloudflare, Inc.",[],khatru,,,7,300ms.
nostr.atitlan.io,CA,Cogent Communications,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,544ms.
nostr.azzamo.net,PL,OVH SAS,"[1,2,4,9,11,20,22,28,40,70]",0.9.6-39-g32a3677,,,8,475ms.
nostr.bch.ninja,US,OVH SAS,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.6,,,0,⛔
nostr.bitcoiner.social,US,IncogNET LLC,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,500,589ms.
nostr.bitcoinist.org,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,445ms.
nostr.bitcoinplebs.de,DE,Strato AG,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,5000000,link,0,354ms.
nostr.bitcoinvn.io,VN,VNPT,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,0,1063ms.
nostr.bitpunk.fm,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,501ms.
nostr.brackrat.com,GB,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,791ms.
nostr.btc-library.com,DE,Deutsche Telekom AG,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.6,,,16,315ms.
nostr.cahlen.org,SE,Privex Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-4-g13b0296,,,0,⛔
nostr.camalolo.com,TW,"Chunghwa Telecom Co., Ltd.","[1,2,4,9,11,20,22,28,40,70]",0.9.6-39-g32a3677,,,2,1006ms.
nostr.carroarmato0.be,BE,Telenet N.V.,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,2,330ms.
nostr.ch3n2k.com,CA,TELUS Communications Inc.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,698ms.
nostr.chaima.info,DE,Contabo GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,306ms.
nostr.cizmar.net,DE,IP via active-servers.com,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,375ms.
nostr.cloud.vinney.xyz,US,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.8,,,0,470ms.
nostr.cltrrd.us,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,773ms.
nostr.community.ath.cx,CA,OVH SAS,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,3,624ms.
nostr.cool110.xyz,GB,TalkTalk,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,0,⛔
nostr.corebreach.com,US,CenturyLink,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,608ms.
nostr.cro.social,FR,OVH ISP,"[1,2,9,11,12,15,16,20,22,33]",0.8.2,,,18,190ms.
nostr.cxplay.org,CA,"Cloudflare, Inc.","[1,11,70]",khatru,,,0,1496ms.
nostr.cypherpunk.today,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,347ms.
nostr.dakukitsune.ca,CA,Hive Data Center Inc.,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,17,478ms.
nostr.data.haus,DE,Hetzner Online GmbH,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,500,403ms.
nostr.dbtc.link,NL,The Infrastructure Group B.V.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,1,378ms.
nostr.decentony.com,US,"DigitalOcean, LLC","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.6,7000000,link,0,⛔
nostr.demery.net,DE,Akamai Technologies,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,378ms.
nostr.dfaria.eu,ES,CLOUDING-VM,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,196ms.
nostr.dirty.pm,DE,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⌛
nostr.dlsouza.lol,DE,Contabo GmbH,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,6,697ms.
nostr.dmgd.monster,GB,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,1137ms.
nostr.dodge.me.uk,GB,Zen Internet Ltd,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,20,446ms.
nostr.drafted.pro,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,532ms.
nostr.dumango.com,DE,EVANZO e-commerce GmbH,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,1000000,link,0,288ms.
nostr.dvdt.dev,US,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⛔
nostr.easydns.ca,CA,"easyDNS Technologies, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33]",1.16.0,,,0,635ms.
nostr.einundzwanzig.space,DE,Contabo GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,568,240ms.
nostr.extrabits.io,US,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,50,link,0,711ms.
nostr.filmweb.pl,PL,Efigence S.A.,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.9,,,19,374ms.
nostr.fmt.wiz.biz,US,WIZ K.K.,"[1,2,4,9,11,12,16,20,22,28,33,40]",v216-4736f37,,,500,506ms.
nostr.fort-btc.club,US,Oracle Corporation,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.0,1000000,link,0,583ms.
nostr.frostr.xyz,US,"Akamai Technologies, Inc.","[1,2,9,11,12,15,16,20,22,33]",0.8.2,,,0,679ms.
nostr.gerbils.online,US,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40]",0.8.12,,,14,476ms.
nostr.girino.org,CA,"Cloudflare, Inc.","[1,11,42,70,86,9,45]",khatru,,,125,892ms.
nostr.globals.fans,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33]",0.9.0,,,0,⛔
nostr.gluestick.io,JP,Contabo Asia Private Limited,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,4200000,link,0,853ms.
nostr.grooveix.com,DE,netcup GmbH,"[1,2,4,9,11,20,22,28,40,70]",0.9.6-39-g32a3677,,,2,402ms.
nostr.happytavern.co,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33]",0.8.1,,,0,⛔
nostr.hashbang.nl,NL,Concepts ICT B.V,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,426ms.
nostr.hashi.sbs,GB,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,8888,link,0,711ms.
nostr.hashrelay.com,GB,CustodianDC Limited,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,1000000,link,0,306ms.
nostr.heavyrubberslave.com,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,360ms.
nostr.hekster.org,US,"DigitalOcean, LLC","[1,9,11,12,15,16,20,22]",v103-e5ec135,,,0,706ms.
nostr.heliodex.cf,GB,Zen Internet Ltd,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,13,467ms.
nostr.hexhex.online,US,"Fly.io, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,15,877ms.
nostr.hifish.org,CH,Sunrise GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,23,328ms.
nostr.hubmaker.io,CH,Infomaniak Network SA,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,39,312ms.
nostr.i9.eti.br,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⛔
nostr.inaridiy.com,CA,"Cloudflare, Inc.","[1,2,4,9,11,45,26]",Honostr 0.0.0,,,3,942ms.
nostr.inosta.cc,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,5000000,link,0,319ms.
nostr.intrepid18.com,US,Hostwinds LLC.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,716ms.
nostr.itsnebula.net,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,532ms.
nostr.jaonoctus.dev,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,873ms.
nostr.javi.space,IT,Aruba S.p.A. Network,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,0,297ms.
nostr.jcloud.es,ES,Telefonica de Espana SAU,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,295ms.
nostr.jfischer.org,DE,netcup GmbH,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",0.4.3,,,2,368ms.
nostr.karmickoala.info,GB,OVH SAS,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,500000,link,0,⛔
nostr.kloudcover.com,US,"Amazon.com, Inc.","[1,2,9,11,12,15,16,20,22,26]",0.7.12,,,3,808ms.
nostr.kolbers.de,DE,IONOS SE,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.8,,,14,277ms.
nostr.koning-degraaf.nl,NL,DELTA Fiber Nederland B.V.,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,2000000,link,0,191ms.
nostr.kosmos.org,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,1,332ms.
nostr.kungfu-g.rip,US,The Constant Company,"[1,2,4,9,11,12,16,20,22,28,33,40]",no-git-commits,,,7,552ms.
nostr.l00p.org,DE,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,320ms.
nostr.land,FI,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",custom 1.0.1,4000000,link,38,237ms.
nostr.lbdev.fun,HK,Amazon Technologies Inc.,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,0,⌛
nostr.lecturify.net,FR,OVH SAS,"[1,11,42,70,86,9,45]",khatru,,,0,⛔
nostr.liberty.fans,US,Charter Communications,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,24,571ms.
nostr.lll.gd,AT,Alwyzon,"[1,9,11]",subzero,,,3,281ms.
nostr.lopp.social,FR,GANDI is an ICANN accredited registrar,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,269ms.
nostr.lorentz.is,US,"AT&T Services, Inc.","[1,2,9,11,12,15,16,20,22,33]",0.8.2,,,0,488ms.
nostr.lu.ke,GB,OVH SAS,"[1,9,11,12,15,16,20,22]",v103-e5ec135,,,450,211ms.
nostr.luisschwab.net,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,547ms.
nostr.madco.me,GB,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,298ms.
nostr.manasiwibi.com,DE,Contabo GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,196ms.
nostr.massmux.com,DE,Contabo GmbH,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40,111]",1.22.1,,,26,187ms.
nostr.messagepush.io,US,"Akamai Technologies, Inc.","[1,2,9,11,12,15,16,20,22,26]",0.7.10,,,0,445ms.
nostr.middling.mydns.jp,JP,Oracle Corporation,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,16,1216ms.
nostr.mikoshi.de,DE,1&1 Versatel Deutschland GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,307ms.
nostr.millonair.us,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⌛
nostr.mining.sc,US,Dedicated.com,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.9,,,0,527ms.
nostr.mom,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,482,193ms.
nostr.moynihan.live,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33]",0.8.1,,,0,⌛
nostr.mwmdev.com,PT,PT Comunicacoes S.A,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⛔
nostr.myshosholoza.co.za,NL,"HIVELOCITY, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,307ms.
nostr.mywire.org,HU,INVITEL Zrt,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.9,,,0,⛔
nostr.neilalexander.dev,GB,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,437ms.
nostr.nodeofsven.com,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,6,510ms.
nostr.noderunners.network,PL,OVH SAS,"[1,2,4,9,11,12,13,15,16,20,22,28,33,40,42,50]",3.0.10,,,32,411ms.
nostr.noones.com,DE,"DigitalOcean, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,305ms.
nostr.notribe.net,US,"AT&T Services, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,19,531ms.
nostr.novacisko.cz,PL,"The Constant Company, LLC","[1,5,9,11,12,16,20,24,33,42,45,50,97]",c833dc7,,,2,422ms.
nostr.null.bg,BG,Bulgarian Telecommunications Company Plc.,"[1,2,5,9,11,12,15,20,26,33,40]",1.14,,,0,⛔
nostr.openhoofd.nl,NL,DELTA Fiber Nederland,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⌛
nostr.overmind.lol,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.8,,,434,628ms.
nostr.oxtr.dev,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,500,354ms.
nostr.pailakapo.com,US,Comcast Cable Communications,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.5-2-ga7aefde,,,0,⛔
nostr.pjv.me,US,Hetzner Online GmbH,"[1,9,11,12,15,16,20,22]",v1-0cb825d,,,1,742ms.
nostr.polonkai.eu,DE,"DigitalOcean, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,2,279ms.
nostr.polyserv.xyz,RU,OJSC Sibirtelecom,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40,42]",0.4.3,,,0,555ms.
nostr.portemonero.com,DE,netcup GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,329ms.
nostr.primz.org,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33]",1.18.0,,,0,290ms.
nostr.psychoet.nexus,IS,1984 ehf,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,1000000,link,1,639ms.
nostr.reckless.dev,US,"AT&T Services, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,716ms.
nostr.reelnetwork.eu,FI,Hetzner Online GmbH,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,2100000,link,0,435ms.
nostr.relay.moizen.xyz,CA,"easyDNS Technologies, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,3,534ms.
nostr.rocketnode.space,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,672ms.
nostr.roundrockbitcoiners.com,US,"DigitalOcean, LLC","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.6,,,21,428ms.
nostr.rubberdoll.cc,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,382ms.
nostr.sagaciousd.com,CA,Shaw Communications Inc.,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,20,785ms.
nostr.sathoarder.com,FR,velia.net Internetdienste GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,23,227ms.
nostr.sats.coffee,GB,Cogent Communications,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,1714ms.
nostr.satstralia.com,IS,1984 ehf,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,18,443ms.
nostr.schorsch.fans,DE,Strato AG,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,0,486ms.
nostr.se7enz.com,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⛔
nostr.searx.is,IS,The 1984 ehf,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,438ms.
nostr.sebastix.dev,NL,TransIP BV,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,250000000,link,0,354ms.
nostr.sebastix.social,NL,KPN B.V.,"[1,4,9,11,42,59,65]",chorus 1.1.0,,,0,⛔
nostr.sectiontwo.org,US,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,1,876ms.
nostr.self-determined.de,DE,Bieber IT GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,1,519ms.
nostr.ser1.net,IN,Contabo GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,1111ms.
nostr.sidnlabs.nl,NL,Stichting Internet Domeinregistratie Nederland,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,717ms.
nostr.sinrega.org,NL,High5! B.V.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,⛔
nostr.skitso.business,NL,"DigitalOcean, LLC","[1,2,5,9,11,12,15,20,26]",1.1.7,,,3,918ms.
nostr.slothy.win,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,5000000,link,0,998ms.
nostr.sovbit.host,IS,The 1984 ehf,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,10000000,link,16,843ms.
nostr.spaceshell.xyz,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,438ms.
nostr.spierdol.one,NL,IncogNET LLC,"[1,2,9,11,12,15,16,20,22,33,40]",,,,0,⛔
nostr.sprovoost.nl,NL,Freedom Internet BV,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,4,370ms.
nostr.stakey.net,NL,The Infrastructure Group B.V.,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,72,334ms.
nostr.strits.dk,DK,Norlys Digital A/S,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,1,525ms.
nostr.stupleb.cc,CA,Cogent Communications,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,3195ms.
nostr.sudocarlos.com,GB,Cogent Communications,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,0,⛔
nostr.swiss-enigma.ch,DE,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,473,355ms.
nostr.synalysis.com,US,Render,"[1,2,4,9,11,12,13,15,16,20,22,26,28,33,40]",0.1.0,,,3,762ms.
nostr.t-rg.ws,LU,FranTech Solutions,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,1000000000,link,0,646ms.
nostr.tavux.tech,FR,OVH SAS,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,4,287ms.
nostr.thank.eu,CH,swissns GmbH,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,0,715ms.
nostr.thesamecat.io,FI,Hetzner Online GmbH,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,10000000,link,0,⛔
nostr.thurk.org,ES,Cloudi Nextgen SL,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,1601ms.
nostr.tools.global.id,US,Amazon.com,"[1,2,9,11,12,15,16,20,22,33]",0.8.2,,,0,752ms.
nostr.topeth.info,US,Google LLC,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.3,,,18,733ms.
nostr.uneu.net,GB,"Cloudflare, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,⛔
nostr.ussenterprise.xyz,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,842ms.
nostr.veladan.org,ES,Telefonica de Espana SAU,"[1,2,4,9,11,12,15,16,20,22,25,26,28,33,40,42,45,50]",0.4.6,,,0,⛔
nostr.voluna.dev,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,795ms.
nostr.vulpem.com,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",0.4.3,,,0,392ms.
nostr.wine,CA,"Cloudflare, Inc.","[1,2,4,9,11,40,42,50,94]",0.3.2,18888000,link,221,621ms.
nostr.wine.,CA,"Cloudflare, Inc.","[1,2,4,9,11,40,42,50,94]",0.3.2,18888000,link,221,714ms.
nostr.x0f.org,NL,TransIP BV,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,582ms.
nostr.xmr.rocks,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,10,859ms.
nostr.yuv.al,IE,Amazon Technologies Inc.,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,0,556ms.
nostr.zbd.gg,US,"Amazon.com, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.2-1-g75a34e4,,,1,560ms.
nostr.zoel.network,KR,Amazon Technologies Inc.,"[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,,,371,1389ms.
nostr01.counterclockwise.io,GB,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40,42,42]",0.8.7,,,0,315ms.
nostr1.daedaluslabs.io,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,0,⛔
nostr2.azzamo.net,PL,OVH SAS,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,5,525ms.
nostr2.daedaluslabs.io,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,6,829ms.
nostr2.girino.org,CA,"Cloudflare, Inc.","[1,11,42,70,86,9,45]",khatru,,,125,1571ms.
nostr2.sanhauf.com,DE,"DigitalOcean, LLC","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.22.6,,,17,1438ms.
nostr21.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,21000,link,18,1478ms.
nostr3.daedaluslabs.io,DE,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,4,1124ms.
